locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKFKEDI_00028	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
EJKFKEDI_00029	CDS	1014	usg		COG0136	USG-1 protein
EJKFKEDI_00030	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EJKFKEDI_00031	CDS	660	dedA		COG0586	Protein DedA
EJKFKEDI_00032	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
EJKFKEDI_00033	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
EJKFKEDI_00034	CDS	663	dedD			Cell division protein DedD
EJKFKEDI_00035	CDS	489	cvpA		COG1286	Colicin V production protein
EJKFKEDI_00036	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EJKFKEDI_00037	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
EJKFKEDI_00038	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
EJKFKEDI_00039	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
EJKFKEDI_00040	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
EJKFKEDI_00041	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
EJKFKEDI_00042	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
EJKFKEDI_00043	CDS	894				Epimerase family protein
EJKFKEDI_00044	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
EJKFKEDI_00045	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EJKFKEDI_00046	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
EJKFKEDI_00047	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
EJKFKEDI_00048	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
EJKFKEDI_00049	CDS	1479				hypothetical protein
EJKFKEDI_00050	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EJKFKEDI_00051	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
EJKFKEDI_00052	CDS	456				hypothetical protein
EJKFKEDI_00053	CDS	495				hypothetical protein
EJKFKEDI_00054	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
EJKFKEDI_00055	CDS	1833				hypothetical protein
EJKFKEDI_00056	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
EJKFKEDI_00057	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EJKFKEDI_00058	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
EJKFKEDI_00059	CDS	165				hypothetical protein
EJKFKEDI_00060	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
EJKFKEDI_00061	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
EJKFKEDI_00062	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
EJKFKEDI_00063	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
EJKFKEDI_00064	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
EJKFKEDI_00065	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
EJKFKEDI_00066	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
EJKFKEDI_00067	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
EJKFKEDI_00068	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
EJKFKEDI_00069	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
EJKFKEDI_00070	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
EJKFKEDI_00071	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
EJKFKEDI_00072	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
EJKFKEDI_00073	CDS	504	yfbM			Protein YfbM
EJKFKEDI_00074	CDS	972				hypothetical protein
EJKFKEDI_00075	CDS	1743				hypothetical protein
EJKFKEDI_00076	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
EJKFKEDI_00077	CDS	462	elaA		COG2153	Protein ElaA
EJKFKEDI_00078	CDS	306	elaB		COG4575	Protein ElaB
EJKFKEDI_00079	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
EJKFKEDI_00080	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
EJKFKEDI_00081	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EJKFKEDI_00082	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
EJKFKEDI_00083	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
EJKFKEDI_00084	CDS	1356	menE_1	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
EJKFKEDI_00085	CDS	267	pmrD			Signal transduction protein PmrD
EJKFKEDI_00086	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
EJKFKEDI_00087	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
EJKFKEDI_00088	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
EJKFKEDI_00089	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
EJKFKEDI_00090	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
EJKFKEDI_00091	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EJKFKEDI_00092	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
EJKFKEDI_00093	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
EJKFKEDI_00094	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
EJKFKEDI_00095	CDS	543				hypothetical protein
EJKFKEDI_00096	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
EJKFKEDI_00097	CDS	783	rhmR_1		COG1414	putative HTH-type transcriptional regulator RhmR
EJKFKEDI_00098	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
EJKFKEDI_00099	CDS	1290	rhmT			Inner membrane transport protein RhmT
EJKFKEDI_00100	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
EJKFKEDI_00101	CDS	222				hypothetical protein
EJKFKEDI_00102	CDS	996				ISNCY family transposase ISRor2
EJKFKEDI_00103	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
EJKFKEDI_00104	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
EJKFKEDI_00105	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
EJKFKEDI_00106	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
EJKFKEDI_00107	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
EJKFKEDI_00108	CDS	651	inaA			Protein InaA
EJKFKEDI_00109	CDS	255				hypothetical protein
EJKFKEDI_00110	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
EJKFKEDI_00111	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
EJKFKEDI_00112	CDS	3765	yfaL		COG3468	putative autotransporter YfaL
EJKFKEDI_00113	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EJKFKEDI_00114	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
EJKFKEDI_00115	CDS	1689				hypothetical protein
EJKFKEDI_00116	CDS	624				hypothetical protein
EJKFKEDI_00117	CDS	4395				hypothetical protein
EJKFKEDI_00118	CDS	1650				hypothetical protein
EJKFKEDI_00119	CDS	777				hypothetical protein
EJKFKEDI_00120	CDS	1185	atoB	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
EJKFKEDI_00121	CDS	1323	atoE		COG2031	Putative short-chain fatty acid transporter
EJKFKEDI_00122	CDS	651	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
EJKFKEDI_00123	CDS	663	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
EJKFKEDI_00124	CDS	1386	atoC		COG2204	Regulatory protein AtoC
EJKFKEDI_00125	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
EJKFKEDI_00126	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
EJKFKEDI_00127	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
EJKFKEDI_00128	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
EJKFKEDI_00129	CDS	1122	ompC		COG3203	Outer membrane protein C
EJKFKEDI_00130	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
EJKFKEDI_00131	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
EJKFKEDI_00132	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
EJKFKEDI_00133	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
EJKFKEDI_00134	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
EJKFKEDI_00135	CDS	489	eco		COG4574	Ecotin
EJKFKEDI_00136	CDS	165				hypothetical protein
EJKFKEDI_00137	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
EJKFKEDI_00138	CDS	264	napD		COG3062	Chaperone NapD
EJKFKEDI_00139	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
EJKFKEDI_00140	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
EJKFKEDI_00141	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
EJKFKEDI_00142	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
EJKFKEDI_00143	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
EJKFKEDI_00144	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
EJKFKEDI_00145	CDS	663	ccmB		COG2386	Heme exporter protein B
EJKFKEDI_00146	CDS	738	ccmC		COG0755	Heme exporter protein C
EJKFKEDI_00147	CDS	210	ccmD		COG3114	Heme exporter protein D
EJKFKEDI_00148	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
EJKFKEDI_00149	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
EJKFKEDI_00150	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
EJKFKEDI_00151	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
EJKFKEDI_00152	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
EJKFKEDI_00153	CDS	204				hypothetical protein
EJKFKEDI_00154	CDS	390				hypothetical protein
EJKFKEDI_00155	CDS	249				hypothetical protein
EJKFKEDI_00156	tRNA	77				tRNA-Pro(ggg)
EJKFKEDI_00157	CDS	1761	yejM		COG3083	Inner membrane protein YejM
EJKFKEDI_00158	CDS	228				hypothetical protein
EJKFKEDI_00159	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
EJKFKEDI_00160	CDS	285	rplY		COG1825	50S ribosomal protein L25
EJKFKEDI_00161	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
EJKFKEDI_00162	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
EJKFKEDI_00163	CDS	1191	bcr_1			Bicyclomycin resistance protein
EJKFKEDI_00164	CDS	345	yejG			putative protein YejG
EJKFKEDI_00165	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
EJKFKEDI_00166	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
EJKFKEDI_00167	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
EJKFKEDI_00168	CDS	1815				hypothetical protein
EJKFKEDI_00169	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
EJKFKEDI_00170	CDS	567	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
EJKFKEDI_00171	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
EJKFKEDI_00172	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
EJKFKEDI_00173	CDS	1467	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
EJKFKEDI_00174	CDS	573	yeiP		COG0231	Elongation factor P-like protein
EJKFKEDI_00175	CDS	255				hypothetical protein
EJKFKEDI_00176	CDS	1182	setB			Sugar efflux transporter B
EJKFKEDI_00177	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
EJKFKEDI_00178	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
EJKFKEDI_00179	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
EJKFKEDI_00180	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
EJKFKEDI_00181	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
EJKFKEDI_00182	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
EJKFKEDI_00183	CDS	699	yeiL		COG0664	Regulatory protein YeiL
EJKFKEDI_00184	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
EJKFKEDI_00185	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
EJKFKEDI_00186	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
EJKFKEDI_00187	CDS	1050				hypothetical protein
EJKFKEDI_00188	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
EJKFKEDI_00189	CDS	1470	lysP		COG0833	Lysine-specific permease
EJKFKEDI_00190	CDS	1992	cirA_1		COG4771	Colicin I receptor
EJKFKEDI_00191	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
EJKFKEDI_00192	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
EJKFKEDI_00193	CDS	1158				hypothetical protein
EJKFKEDI_00194	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
EJKFKEDI_00195	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
EJKFKEDI_00196	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EJKFKEDI_00197	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
EJKFKEDI_00198	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
EJKFKEDI_00199	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
EJKFKEDI_00200	CDS	240				hypothetical protein
EJKFKEDI_00201	CDS	720				hypothetical protein
EJKFKEDI_00202	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
EJKFKEDI_00203	CDS	696	yohK_1		COG1346	Inner membrane protein YohK
EJKFKEDI_00204	CDS	399				hypothetical protein
EJKFKEDI_00205	CDS	951	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
EJKFKEDI_00206	CDS	1437	ttgI			Toluene efflux pump outer membrane protein TtgI
EJKFKEDI_00207	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
EJKFKEDI_00208	CDS	579	yohD		COG0586	Inner membrane protein YohD
EJKFKEDI_00209	CDS	588	yohC			Inner membrane protein YohC
EJKFKEDI_00210	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
EJKFKEDI_00211	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
EJKFKEDI_00212	CDS	2268		3.2.1.-		Beta-xylosidase
EJKFKEDI_00213	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
EJKFKEDI_00214	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
EJKFKEDI_00215	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
EJKFKEDI_00216	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
EJKFKEDI_00217	CDS	108				hypothetical protein
EJKFKEDI_00218	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
EJKFKEDI_00219	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
EJKFKEDI_00220	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
EJKFKEDI_00221	CDS	471				hypothetical protein
EJKFKEDI_00222	CDS	462	yehR		COG4808	putative lipoprotein YehR
EJKFKEDI_00223	CDS	2004				hypothetical protein
EJKFKEDI_00224	CDS	1137				hypothetical protein
EJKFKEDI_00225	CDS	2280				hypothetical protein
EJKFKEDI_00226	CDS	1089	yehL		COG0714	putative protein YehL
EJKFKEDI_00227	CDS	186				hypothetical protein
EJKFKEDI_00228	CDS	3633				hypothetical protein
EJKFKEDI_00229	CDS	3762				hypothetical protein
EJKFKEDI_00230	CDS	3801				hypothetical protein
EJKFKEDI_00231	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
EJKFKEDI_00232	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
EJKFKEDI_00233	CDS	282				hypothetical protein
EJKFKEDI_00234	CDS	543	yehD			putative fimbrial-like protein YehD
EJKFKEDI_00235	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
EJKFKEDI_00236	CDS	2481	yehB		COG3188	Outer membrane usher protein YehB
EJKFKEDI_00237	CDS	627	yehA_1			putative fimbrial-like protein YehA
EJKFKEDI_00238	CDS	276			COG1662	IS1 family transposase IS1D
EJKFKEDI_00239	CDS	378			COG1662	IS1 family transposase IS1R
EJKFKEDI_00240	CDS	291	yehA_2			putative fimbrial-like protein YehA
EJKFKEDI_00241	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
EJKFKEDI_00242	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
EJKFKEDI_00243	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
EJKFKEDI_00244	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
EJKFKEDI_00245	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
EJKFKEDI_00246	CDS	819				hypothetical protein
EJKFKEDI_00247	CDS	747	nagR		COG2188	HTH-type transcriptional repressor NagR
EJKFKEDI_00248	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
EJKFKEDI_00249	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
EJKFKEDI_00250	CDS	1278	yegT			Putative nucleoside transporter YegT
EJKFKEDI_00251	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
EJKFKEDI_00252	CDS	855	gatY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
EJKFKEDI_00253	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
EJKFKEDI_00254	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
EJKFKEDI_00255	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
EJKFKEDI_00256	CDS	690	gatC_1		COG3775	PTS system galactitol-specific EIIC component
EJKFKEDI_00257	CDS	666	gatC_2		COG3775	PTS system galactitol-specific EIIC component
EJKFKEDI_00258	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
EJKFKEDI_00259	CDS	780	srlR_1		COG1349	Glucitol operon repressor
EJKFKEDI_00260	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
EJKFKEDI_00261	CDS	318				hypothetical protein
EJKFKEDI_00262	CDS	1362	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
EJKFKEDI_00263	CDS	333				hypothetical protein
EJKFKEDI_00264	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
EJKFKEDI_00265	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
EJKFKEDI_00266	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
EJKFKEDI_00267	CDS	3078	mdtC			Multidrug resistance protein MdtC
EJKFKEDI_00268	CDS	3123	mdtB		COG0841	Multidrug resistance protein MdtB
EJKFKEDI_00269	CDS	1248	mdtA			Multidrug resistance protein MdtA
EJKFKEDI_00270	CDS	660				hypothetical protein
EJKFKEDI_00271	CDS	762	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
EJKFKEDI_00272	CDS	1941	yegI	2.7.-.-	COG4248	Protein kinase YegI
EJKFKEDI_00273	CDS	1353	dnaK_1			Chaperone protein DnaK
EJKFKEDI_00274	CDS	849	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
EJKFKEDI_00275	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
EJKFKEDI_00276	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
EJKFKEDI_00277	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
EJKFKEDI_00278	CDS	1854				hypothetical protein
EJKFKEDI_00279	CDS	1584				hypothetical protein
EJKFKEDI_00280	CDS	1140				hypothetical protein
EJKFKEDI_00281	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
EJKFKEDI_00282	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
EJKFKEDI_00283	CDS	840				hypothetical protein
EJKFKEDI_00284	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
EJKFKEDI_00285	CDS	1218				hypothetical protein
EJKFKEDI_00286	CDS	1221				hypothetical protein
EJKFKEDI_00287	CDS	747				hypothetical protein
EJKFKEDI_00288	CDS	549	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EJKFKEDI_00289	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
EJKFKEDI_00290	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
EJKFKEDI_00291	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
EJKFKEDI_00292	CDS	1224				hypothetical protein
EJKFKEDI_00293	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
EJKFKEDI_00294	CDS	1371	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
EJKFKEDI_00295	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
EJKFKEDI_00296	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
EJKFKEDI_00297	CDS	1281				hypothetical protein
EJKFKEDI_00298	CDS	1221	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EJKFKEDI_00299	CDS	1395				hypothetical protein
EJKFKEDI_00300	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
EJKFKEDI_00301	CDS	1086	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
EJKFKEDI_00302	CDS	900	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
EJKFKEDI_00303	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
EJKFKEDI_00304	CDS	543	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
EJKFKEDI_00305	CDS	1260				hypothetical protein
EJKFKEDI_00306	CDS	966				hypothetical protein
EJKFKEDI_00307	CDS	1149	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EJKFKEDI_00308	CDS	1218				hypothetical protein
EJKFKEDI_00309	CDS	606	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
