Locus Tag	Entry	Protein names	Gene Names
MOBHGNKF_00101	P0CF10	Insertion element IS1 4 protein InsA (IS1d)	insA4 b4516 JW0971
MOBHGNKF_00102	P19766	Insertion element IS1 protein InsB	insB
MOBHGNKF_00103	P41070	Protein TrbD	trbD ECOK12F080
MOBHGNKF_00104	P41068	Protein TraP	traP ECOK12F079
MOBHGNKF_00105	P41067	Protein TraB	traB ECOK12F078
MOBHGNKF_00106	P41066	TraK lipoprotein	traK ECOK12F077
MOBHGNKF_00107	P08322	Protein TraE	traE ECOK12F076
MOBHGNKF_00108	P08321	Protein TraL	traL ECOK12F075
MOBHGNKF_00109	P10513	Pilin	traA
MOBHGNKF_00110	P10512	Relaxosome protein TraY	traY
MOBHGNKF_00111	P05837	Protein TraJ	traJ
MOBHGNKF_00112	P19766	Insertion element IS1 protein InsB	insB
MOBHGNKF_00113	P0CF10	Insertion element IS1 4 protein InsA (IS1d)	insA4 b4516 JW0971
MOBHGNKF_00114	P18005	UPF0380 protein YubP	yubP ygeB ECOK12F069
MOBHGNKF_00115	Q02885	Uncharacterized protein YubO	yubO ygeA ECOK12F068
MOBHGNKF_00116	P23587	Protein FlmC homolog	
MOBHGNKF_00117	P19769	Putative transposase InsK for insertion sequence element IS150	insK dinS b3558 JW3528
MOBHGNKF_00118	P60046	Insertion element IS150 uncharacterized 19.7 kDa protein	IS1501 IS1031 S0497; IS1502 IS1032 S1483
MOBHGNKF_00119	P13971	Protein sok	sok
MOBHGNKF_00120	P18148	Protein PsiA	psiA ECOK12F064
MOBHGNKF_00121	P10032	Protein PsiB	psiB
MOBHGNKF_00122	Q9S4W2	Uncharacterized protein YubM	yubM yfjB ECOK12F062
MOBHGNKF_00123	Q9JMR3	UPF0401 protein YubL	yubL yfjA ECOK12F061
MOBHGNKF_00124	P28043	Plasmid-derived single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	ssb
MOBHGNKF_00126	B3EQT0	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA Cphamn1_1177
MOBHGNKF_00130	P0C243	Uncharacterized protein YubJ	yubJ yfhA ECOK12F058
MOBHGNKF_00131	Q9S4W7	Putative antirestriction protein YubI	yubI yfgB ECOK12F057
MOBHGNKF_00132	O82899	Uncharacterized protein YubG	L7076 ECO57PM40
MOBHGNKF_00133	Q9S4X0	Uncharacterized protein YubF	yubF yffA ECOK12F054
MOBHGNKF_00134	Q9S4X1	Uncharacterized protein YubE	yubE yfeB ECOK12F053
MOBHGNKF_00135	Q9S4X2	Putative methylase YubD (EC 2.1.1.-) (Type II methyltransferase M.EcoCR63FORFAP) (M.EcoCR63FORFAP)	yubD yfeA ECOK12F052
MOBHGNKF_00136	Q9S4X5	Uncharacterized protein YubA	yubA yfcB ECOK12F049
MOBHGNKF_00137	B3EQT0	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA Cphamn1_1177
MOBHGNKF_00142	P0ABT1	DNA polymerase III subunit theta (EC 2.7.7.7)	holE SF1852.1 S1918
MOBHGNKF_00145	Q9S4W7	Putative antirestriction protein YubI	yubI yfgB ECOK12F057
MOBHGNKF_00146	O82899	Uncharacterized protein YubG	L7076 ECO57PM40
MOBHGNKF_00147	Q9S4X0	Uncharacterized protein YubF	yubF yffA ECOK12F054
MOBHGNKF_00148	Q9S4X1	Uncharacterized protein YubE	yubE yfeB ECOK12F053
MOBHGNKF_00149	Q9S4X2	Putative methylase YubD (EC 2.1.1.-) (Type II methyltransferase M.EcoCR63FORFAP) (M.EcoCR63FORFAP)	yubD yfeA ECOK12F052
MOBHGNKF_00152	P11904	Plasmid segregation protein ParM (ParA locus 36 kDa protein) (Protein StbA)	parM stbA
MOBHGNKF_00153	P0AG13	Protein UmuD (EC 3.4.21.-) [Cleaved into: Protein UmuD']	umuD SF1172 S1260
MOBHGNKF_00154	P23832	Protein SamB	samB
MOBHGNKF_00155	P24042	Replication protein RepA	repA
MOBHGNKF_00156	P07175	Protein ParA	parA
MOBHGNKF_00159	P06615	Resolvase (Protein D)	resD D ECOK12F044
MOBHGNKF_00164	P62554	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043
MOBHGNKF_00165	P62552	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA ECOK12F042
MOBHGNKF_00172	P0A3X0	Modulating protein YmoA (Histone-like protein)	ymoA hha YPO3138 y1046 YP_0793
MOBHGNKF_00174	Q56897	Transposase for insertion sequence element IS1328	
MOBHGNKF_00175	P06694	Transposase for transposon Tn21	tnpA
MOBHGNKF_00177	I3ZRF2	Probable ribonuclease HepT (EC 3.1.-.-) (Toxin HepT)	hepT CL1_0071
MOBHGNKF_00178	Q688L5	Germin-like protein 5-1	Os05g0197200 LOC_Os05g10830 P0617H07.14 P0636E04.5
MOBHGNKF_00179	P50361	Uncharacterized protein y4hQ	NGR_a03330 y4hQ
MOBHGNKF_00180	P0C1G3	Transposons Tn4653 resolvase	tnpR
MOBHGNKF_00182	P18358	Transposon Tn552 resolvase	tnpR binL
MOBHGNKF_00183	Q87K03	Pentapeptide repeat protein VPA0095	VPA0095
MOBHGNKF_00184	P59444	Transposase InsC for insertion element IS2	insC1 SF0245; insC2 SF0879; insC3 SF0933; insC4 SF0960; insC5 SF1054; insC6 SF1165; insC7 SF1343; insC8 SF1463; insC9 SF1587; insC10 SF2011; insC11 SF2615; insC12 SF2694; insC13 SF2873; insC14 SF2984; insC15 SF3431; insC16 SF3512; insC17 SF3805; insC18 SF3873; insC19 SF3988; insC20 SF4097; insC21 SF4185
MOBHGNKF_00185	P0C5W5	Transposase InsD for insertion element IS2A/D/F/H/I/K	insD
MOBHGNKF_00186	P03008	Transposase for transposon Tn3	tnpA
MOBHGNKF_00188	P28585	Beta-lactamase CTX-M-1 (EC 3.5.2.6) (Beta-lactamase MEN-1) (Cefotaximase 1)	bla men1
MOBHGNKF_00191	P03008	Transposase for transposon Tn3	tnpA
MOBHGNKF_00192	P0ADI3	Transposon Tn3 resolvase	tnpR
MOBHGNKF_00193	P19650	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-I) (Aminoglycoside resistance protein)	aacA4
MOBHGNKF_00194	P0AG06	Aminoglycoside (3'') (9) adenylyltransferase (EC 2.7.7.47) (Streptomycin 3''-adenylyltransferase)	aadA
MOBHGNKF_00195	P0A3M3	Beta-lactamase OXA-9 (EC 3.5.2.6) (Oxacillinase) (Penicillinase)	bla oxa9
MOBHGNKF_00196	P0A3M3	Beta-lactamase OXA-9 (EC 3.5.2.6) (Oxacillinase) (Penicillinase)	bla oxa9
MOBHGNKF_00197	P21424	Transposon Tn1331 resolvase	tnpR
MOBHGNKF_00198	Q48406	Beta-lactamase TEM-12 (EC 3.5.2.6)	blaT-12b
MOBHGNKF_00199	P19765	Insertion element IS1 protein InsB	insB1 SF0291; insB2 SF1001; insB3 SF1242; insB4 SF1385; insB5 SF1492; insB6 SF1510; insB7 SF1733; insB8 SF1759; insB9 SF1942; insB10 SF2013; insB11 SF2077; insB12 SF2184; insB13 SF2950; insB14 SF3086; insB15 SF3136; insB16 SF3174; insB17 SF3601; insB18 SF3625; insB19 SF3637; insB20 SF3832; insB21 SF3882; insB22 SF3946; insB23 SF3972; insB24 SF4042; insB25 SF4301
MOBHGNKF_00200	P0A256	Aminoglycoside N(3)-acetyltransferase III (EC 2.3.1.81) (ACC(3)-III) (Aminocyclitol 3-N-acetyltransferase type III) (Gentamicin-(3)-N-acetyl-transferase)	aacC3 aac3-VA aacC2
MOBHGNKF_00201	P12921	Tunicamycin resistance protein	tmrB BSU03140
MOBHGNKF_00203	P0A045	Transposase for insertion sequence-like element IS431mec	tnp MW0027
MOBHGNKF_00206	Q52KB5	Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450)	zbtb24 zfp450 zgc:194556
MOBHGNKF_00207	P03066	Replication initiation protein	repA repA1
MOBHGNKF_00208	Q7BSX2	Replication regulatory protein repA2 (Protein CopB)	repA2 copB L7006 ECO57PM67
MOBHGNKF_00209	Q1RK58	Phospholipase D (PLD) (EC 3.1.4.4) (Choline phosphatase)	pld pldA RBE_0175
MOBHGNKF_00214	P29367	Fertility inhibition protein (Conjugal transfer repressor)	finO
MOBHGNKF_00215	P22710	Protein TraX	traX
MOBHGNKF_00216	P14565	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI ECOK12F104
MOBHGNKF_00217	P09130	Coupling protein TraD (DNA transport protein TraD)	traD ECOK12F102
MOBHGNKF_00219	P15177	TraT complement resistance protein	traT
MOBHGNKF_00220	P09129	Protein TraS	traS ECOK12F100
MOBHGNKF_00221	P33790	Protein TraG [Cleaved into: Protein TraG*]	traG ECOK12F099
MOBHGNKF_00222	P15069	Protein TraH	traH ECOK12F098
MOBHGNKF_00223	P15068	Protein TrbF	trbF ECOK12F097
MOBHGNKF_00224	P18035	Protein TrbB	trbB ECOK12F095
MOBHGNKF_00225	P18033	Protein TraQ	traQ ECOK12F094
MOBHGNKF_00226	P14497	Protein TraF	traF ECOK12F091
MOBHGNKF_00229	Q05807	Protein TrbE	trbE ECOK12F090
MOBHGNKF_00230	P24082	Mating pair stabilization protein TraN	traN ECOK12F089
MOBHGNKF_00231	P18473	Periplasmic protein TrbC	trbC ECOK12F088
MOBHGNKF_00232	P18471	Protein TraU	traU ECOK12F087
MOBHGNKF_00234	P18472	Protein TraW	traW ECOK12F086
MOBHGNKF_00235	P18006	Protein TrbI	trbI ECOK12F085
MOBHGNKF_00236	P18004	Protein TraC	traC ECOK12F084
MOBHGNKF_00241	P41069	Protein TraV	traV ECOK12F082
MOBHGNKF_00242	P41067	Protein TraB	traB ECOK12F078
MOBHGNKF_00243	P41066	TraK lipoprotein	traK ECOK12F077
MOBHGNKF_00244	P08322	Protein TraE	traE ECOK12F076
MOBHGNKF_00245	P08321	Protein TraL	traL ECOK12F075
MOBHGNKF_00246	P04737	Pilin (F-pilin)	traA ECOK12F074
MOBHGNKF_00247	P05836	Relaxosome protein TraY	traY
MOBHGNKF_00248	P05837	Protein TraJ	traJ
MOBHGNKF_00249	P07294	Relaxosome protein TraM	traM
MOBHGNKF_00250	P14499	X polypeptide (ORF 19) (ORF169) (P19 protein)	X 19
MOBHGNKF_00252	P18005	UPF0380 protein YubP	yubP ygeB ECOK12F069
MOBHGNKF_00253	P62594	Beta-lactamase TEM (EC 3.5.2.6) (Penicillinase)	bla HCM1.216
MOBHGNKF_00254	P13976	Endoribonuclease PemK (EC 3.1.-.-) (Kid toxin protein) (mRNA interferase PemK)	pemK
MOBHGNKF_00255	P13975	Antitoxin PemI	pemI
MOBHGNKF_00256	P13974	Uncharacterized 24.3 kDa protein (URF 1)	
MOBHGNKF_00257	P03066	Replication initiation protein	repA repA1
MOBHGNKF_00258	P62537	Replication regulatory protein repA2 (Protein CopB)	repA2 copB repB CP0258
MOBHGNKF_00260	Q7CR17	Hemolysin expression-modulating protein Hha	hha STM0473
MOBHGNKF_00261	Q99342	Uncharacterized endonuclease (EC 3.1.-.-) (ORFA)	
MOBHGNKF_00262	P29367	Fertility inhibition protein (Conjugal transfer repressor)	finO
MOBHGNKF_00263	Q99390	Uncharacterized 31.7 kDa protein in traX-finO intergenic region (ORFC)	
MOBHGNKF_00264	P22710	Protein TraX	traX
MOBHGNKF_00265	P22706	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI
MOBHGNKF_00266	P22708	Coupling protein TraD (DNA transport protein TraD)	traD
MOBHGNKF_00268	P13979	TraT complement resistance protein	traT ECOK12F101
MOBHGNKF_00270	P33790	Protein TraG [Cleaved into: Protein TraG*]	traG ECOK12F099
MOBHGNKF_00271	P15069	Protein TraH	traH ECOK12F098
MOBHGNKF_00272	P15068	Protein TrbF	trbF ECOK12F097
MOBHGNKF_00273	P18035	Protein TrbB	trbB ECOK12F095
MOBHGNKF_00274	P18033	Protein TraQ	traQ ECOK12F094
MOBHGNKF_00275	P18034	Protein TrbA	trbA ECOK12F092
MOBHGNKF_00276	P14497	Protein TraF	traF ECOK12F091
MOBHGNKF_00277	Q05807	Protein TrbE	trbE ECOK12F090
MOBHGNKF_00278	P24082	Mating pair stabilization protein TraN	traN ECOK12F089
MOBHGNKF_00279	P18473	Periplasmic protein TrbC	trbC ECOK12F088
MOBHGNKF_00281	P18471	Protein TraU	traU ECOK12F087
MOBHGNKF_00282	P18472	Protein TraW	traW ECOK12F086
MOBHGNKF_00283	P18006	Protein TrbI	trbI ECOK12F085
MOBHGNKF_00284	P18004	Protein TraC	traC ECOK12F084
MOBHGNKF_00289	P41065	Protein TraR	traR ECOK12F083
MOBHGNKF_00290	P41069	Protein TraV	traV ECOK12F082
MOBHGNKF_00291	P41070	Protein TrbD	trbD ECOK12F080
MOBHGNKF_00292	P41068	Protein TraP	traP ECOK12F079
MOBHGNKF_00293	P41067	Protein TraB	traB ECOK12F078
MOBHGNKF_00294	Q46999	TraK lipoprotein	traK
MOBHGNKF_00295	P10514	Protein TraE	traE
MOBHGNKF_00296	P08321	Protein TraL	traL ECOK12F075
MOBHGNKF_00297	P14494	Pilin	traA
MOBHGNKF_00298	P13972	Protein TraJ	traJ
MOBHGNKF_00299	P13973	Relaxosome protein TraM	traM
MOBHGNKF_00300	P14499	X polypeptide (ORF 19) (ORF169) (P19 protein)	X 19
MOBHGNKF_00301	P18005	UPF0380 protein YubP	yubP ygeB ECOK12F069
MOBHGNKF_00305	P62670	Stable plasmid inheritance protein (F leading maintenance protein)	flmA ORF52 parB stm ECOK12F066
MOBHGNKF_00307	P18148	Protein PsiA	psiA ECOK12F064
MOBHGNKF_00308	P10032	Protein PsiB	psiB
MOBHGNKF_00309	Q9ZGR8	Uncharacterized protein YubM	yubM L7086 ECO57PM50
MOBHGNKF_00310	Q1R1U5	UPF0401 protein YubL	yubL ydeA UTI89_P093
MOBHGNKF_00311	P28044	Plasmid-derived single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	ssb
MOBHGNKF_00313	P14385	Type II methyltransferase M.TaqI (M.TaqI) (EC 2.1.1.72) (Adenine-specific methyltransferase TaqI) (Modification methylase TaqI)	taqIM
MOBHGNKF_00317	P0C243	Uncharacterized protein YubJ	yubJ yfhA ECOK12F058
MOBHGNKF_00318	Q9S4W7	Putative antirestriction protein YubI	yubI yfgB ECOK12F057
MOBHGNKF_00319	O82900	Uncharacterized protein YubH	yubH L7076.1 ECO57PM41
MOBHGNKF_00320	Q9S4W9	Uncharacterized protein YubG	yubG yffB ECOK12F055
MOBHGNKF_00321	Q9S4X0	Uncharacterized protein YubF	yubF yffA ECOK12F054
MOBHGNKF_00322	Q9S4X1	Uncharacterized protein YubE	yubE yfeB ECOK12F053
MOBHGNKF_00323	Q9S4X2	Putative methylase YubD (EC 2.1.1.-) (Type II methyltransferase M.EcoCR63FORFAP) (M.EcoCR63FORFAP)	yubD yfeA ECOK12F052
MOBHGNKF_00324	Q1R1W4	Uncharacterized protein YubC	yubC UTI89_P074
MOBHGNKF_00325	Q9S4X5	Uncharacterized protein YubA	yubA yfcB ECOK12F049
MOBHGNKF_00326	P11906	Protein StbB	stbB
MOBHGNKF_00327	P11904	Plasmid segregation protein ParM (ParA locus 36 kDa protein) (Protein StbA)	parM stbA
MOBHGNKF_00328	P19766	Insertion element IS1 protein InsB	insB
MOBHGNKF_00329	P0CF10	Insertion element IS1 4 protein InsA (IS1d)	insA4 b4516 JW0971
MOBHGNKF_00331	P03008	Transposase for transposon Tn3	tnpA
MOBHGNKF_00332	P0ADI3	Transposon Tn3 resolvase	tnpR
