locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIHCAMGN_00056	CDS	378			COG1662	IS1 family transposase IS1A
KIHCAMGN_00057	CDS	1167				hypothetical protein
KIHCAMGN_00058	CDS	972	sopB			Protein SopB
KIHCAMGN_00059	CDS	339				hypothetical protein
KIHCAMGN_00060	CDS	336				hypothetical protein
KIHCAMGN_00061	CDS	504			COG1662	IS1 family transposase IS1R
KIHCAMGN_00062	CDS	768				IS110 family transposase ISEc32
KIHCAMGN_00063	CDS	426	klcA			Antirestriction protein KlcA
KIHCAMGN_00064	CDS	372				hypothetical protein
KIHCAMGN_00065	CDS	183				hypothetical protein
KIHCAMGN_00066	CDS	231				hypothetical protein
KIHCAMGN_00067	CDS	1362				hypothetical protein
KIHCAMGN_00068	CDS	564				hypothetical protein
KIHCAMGN_00069	CDS	243				hypothetical protein
KIHCAMGN_00070	CDS	237				hypothetical protein
KIHCAMGN_00071	CDS	528	ssb			Plasmid-derived single-stranded DNA-binding protein
KIHCAMGN_00072	CDS	234				hypothetical protein
KIHCAMGN_00073	CDS	1959	noc			Nucleoid occlusion protein
KIHCAMGN_00074	CDS	435	psiB			Protein PsiB
KIHCAMGN_00075	CDS	720				hypothetical protein
KIHCAMGN_00076	CDS	138				hypothetical protein
KIHCAMGN_00077	CDS	522				IS3 family transposase IS103
KIHCAMGN_00078	CDS	606				IS3 family transposase IS150
KIHCAMGN_00079	CDS	159	flmA			Stable plasmid inheritance protein
KIHCAMGN_00080	CDS	2379				Tn3 family transposase TnAs1
KIHCAMGN_00081	CDS	861	bla	3.5.2.6		Beta-lactamase TEM
KIHCAMGN_00082	CDS	705				IS6 family transposase IS26
KIHCAMGN_00083	CDS	495				hypothetical protein
KIHCAMGN_00084	CDS	180				hypothetical protein
KIHCAMGN_00085	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase
KIHCAMGN_00086	CDS	348	emrE		COG2076	Multidrug transporter EmrE
KIHCAMGN_00087	CDS	474	dhfrI	1.5.1.3		Dihydrofolate reductase type 1
KIHCAMGN_00088	CDS	1014	xerC_2			Tyrosine recombinase XerC
KIHCAMGN_00089	CDS	705				IS6 family transposase IS26
KIHCAMGN_00090	CDS	447				IS3 family transposase IS629
KIHCAMGN_00091	CDS	1524				hypothetical protein
KIHCAMGN_00092	CDS	372				hypothetical protein
KIHCAMGN_00093	CDS	480	insK		COG2801	Putative transposase InsK for insertion sequence element IS150
KIHCAMGN_00094	CDS	327				IS3 family transposase IS629
KIHCAMGN_00095	CDS	252				hypothetical protein
KIHCAMGN_00096	CDS	315				hypothetical protein
KIHCAMGN_00097	CDS	753	caf1M		COG3121	Chaperone protein caf1M
KIHCAMGN_00098	CDS	2553	caf1A		COG3188	F1 capsule-anchoring protein
KIHCAMGN_00099	CDS	423	afaD			Protein AfaD
KIHCAMGN_00100	CDS	486				hypothetical protein
KIHCAMGN_00101	CDS	906				IS3 family transposase IS2
KIHCAMGN_00102	CDS	366				hypothetical protein
KIHCAMGN_00103	CDS	417	yjiK		COG3204	putative protein YjiK
KIHCAMGN_00104	CDS	471	virF			Virulence regulon transcriptional activator VirF
KIHCAMGN_00105	CDS	267				hypothetical protein
KIHCAMGN_00106	CDS	171				hypothetical protein
KIHCAMGN_00107	CDS	1038	hmuU		COG0609	Hemin transport system permease protein HmuU
KIHCAMGN_00108	CDS	762	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
KIHCAMGN_00109	CDS	1233	mdtH			Multidrug resistance protein MdtH
KIHCAMGN_00110	CDS	105				hypothetical protein
KIHCAMGN_00111	CDS	300				hypothetical protein
KIHCAMGN_00112	CDS	264				hypothetical protein
KIHCAMGN_00113	CDS	261				hypothetical protein
KIHCAMGN_00114	CDS	483				hypothetical protein
KIHCAMGN_00115	CDS	849	dinG	3.1.-.-		3'-5' exonuclease DinG
KIHCAMGN_00116	CDS	1539				IS66 family transposase ISEc22
KIHCAMGN_00117	CDS	348				hypothetical protein
KIHCAMGN_00118	CDS	405				hypothetical protein
KIHCAMGN_00119	CDS	300				IS3 family transposase IS3
KIHCAMGN_00120	CDS	648				IS3 family transposase IS3
KIHCAMGN_00121	CDS	1524				hypothetical protein
KIHCAMGN_00122	CDS	372				hypothetical protein
KIHCAMGN_00123	CDS	282				hypothetical protein
KIHCAMGN_00124	CDS	1500				hypothetical protein
KIHCAMGN_00125	CDS	756				IS21 family transposase ISEc10
KIHCAMGN_00126	CDS	327				IS3 family transposase IS629
KIHCAMGN_00127	CDS	267				IS91 family transposase ISSbo1
KIHCAMGN_00128	CDS	1176	yncE		COG3391	putative protein YncE
KIHCAMGN_00129	CDS	2262			COG1629	putative TonB-dependent receptor
KIHCAMGN_00130	CDS	777				hypothetical protein
KIHCAMGN_00131	CDS	876				hypothetical protein
KIHCAMGN_00132	CDS	525				hypothetical protein
KIHCAMGN_00133	CDS	255				hypothetical protein
KIHCAMGN_00134	CDS	210				hypothetical protein
KIHCAMGN_00135	CDS	219				hypothetical protein
KIHCAMGN_00136	CDS	348				hypothetical protein
KIHCAMGN_00137	CDS	510				hypothetical protein
KIHCAMGN_00138	CDS	261				hypothetical protein
KIHCAMGN_00139	CDS	276				IS3 family transposase IS629
