Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
AP024119.1,6080,['None'],['None'],0,['None'],['None'],['None'],0,['PCOJGLBE_00004'],1
AP024120.1,4594,['None'],['None'],0,['None'],['None'],['None'],0,[],0
AP024121.1,1868,['None'],['None'],0,['None'],['None'],['None'],0,[],0
AP024122.1,1307,['None'],['None'],0,['None'],['None'],['None'],0,['AIJPCJAC_00002'],1
AP024132.2,148268,"['STREPTOMYCIN', 'SULFONAMIDE']","['aadA1', 'sul1']",2,"['HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['merD', 'merR', 'repA2 copB repB CP0258', 'finO L7001 ECO57PM64']","['merD', 'merR', 'repA2', 'finO']",4,"['PAPMKCDF_00009', 'PAPMKCDF_00011', 'PAPMKCDF_00021', 'PAPMKCDF_00024', 'PAPMKCDF_00025', 'PAPMKCDF_00027', 'PAPMKCDF_00054', 'PAPMKCDF_00065', 'PAPMKCDF_00066', 'PAPMKCDF_00071', 'PAPMKCDF_00076', 'PAPMKCDF_00115', 'PAPMKCDF_00142']",13
AP024133.2,111584,['None'],['None'],0,['None'],['None'],['None'],0,"['FOEDLMAD_00001', 'FOEDLMAD_00020', 'FOEDLMAD_00071', 'FOEDLMAD_00072']",4
AP024474.1,88176,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['AAMBNDOF_00006', 'AAMBNDOF_00017', 'AAMBNDOF_00039', 'AAMBNDOF_00049', 'AAMBNDOF_00059', 'AAMBNDOF_00062', 'AAMBNDOF_00067']",7
AP024476.1,89029,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['FMFICPOI_00006', 'FMFICPOI_00015', 'FMFICPOI_00038', 'FMFICPOI_00048', 'FMFICPOI_00059', 'FMFICPOI_00060', 'FMFICPOI_00064']",7
AP024477.1,88329,['None'],['None'],0,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['JGCMILDI_00007', 'JGCMILDI_00018', 'JGCMILDI_00090']",3
AP024479.1,80950,['None'],['None'],0,['HTH-type transcriptional regulator PrsX'],['prsX'],['prsX'],1,"['HKJHKPNJ_00019', 'HKJHKPNJ_00023', 'HKJHKPNJ_00032', 'HKJHKPNJ_00040', 'HKJHKPNJ_00067']",5
CP012494.1,96229,['None'],['None'],0,['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]'],['ant reb'],['ant'],1,"['MPPMHGND_00002', 'MPPMHGND_00014', 'MPPMHGND_00078', 'MPPMHGND_00102', 'MPPMHGND_00103', 'MPPMHGND_00111']",6
CP012495.1,52298,['None'],['None'],0,['Replication regulatory protein repA2 (Protein CopB)'],['repA2 copB repB CP0258'],['repA2'],1,['MIKIOPFH_00041'],1
CP012496.1,34715,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['repA2 copB', 'virB invE']","['repA2', 'virB']",2,"['IPDKPPNI_00024', 'IPDKPPNI_00032', 'IPDKPPNI_00036', 'IPDKPPNI_00037']",4
CP013836.1,140503,"['MACROLIDE', 'SULFONAMIDE', 'CHLORAMPHENICOL', 'STREPTOMYCIN', 'GENTAMICIN;KANAMYCIN;TOBRAMYCIN', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM']","['mph(A)', 'sul1', 'cmlA6', 'aadA1', ""ant(2'')-Ia"", 'dfrA17', 'aadA5', 'sul1', 'blaTEM-1']",9,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Transcriptional repressor protein KorC', 'Uncharacterized HTH-type transcriptional regulator RhmR', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein']","['repA2 copB repB CP0258', 'finO', 'korC', 'rhmR yfaX b2248 JW2242', 'yfiR BSU08370', 'Rv3488', 'merD', 'merR']","['repA2', 'finO', 'korC', 'rhmR', 'yfiR', 'Rv3488', 'merD', 'merR']",8,"['DGKIDAHK_00063', 'DGKIDAHK_00072', 'DGKIDAHK_00081', 'DGKIDAHK_00090', 'DGKIDAHK_00111', 'DGKIDAHK_00127', 'DGKIDAHK_00143', 'DGKIDAHK_00167', 'DGKIDAHK_00172', 'DGKIDAHK_00177', 'DGKIDAHK_00185']",11
CP014493.1,128306,"['TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'BETA-LACTAM']","['dfrA17', 'aadA5', 'sul1', 'mph(A)', 'blaTEM-1']",5,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR']","['repA2 copB ECOK12F006', 'finO', 'Rv3488', 'yfiR BSU08370']","['repA2', 'finO', 'Rv3488', 'yfiR']",4,"['NPNLDJGM_00069', 'NPNLDJGM_00090', 'NPNLDJGM_00092', 'NPNLDJGM_00109', 'NPNLDJGM_00115', 'NPNLDJGM_00142', 'NPNLDJGM_00166', 'NPNLDJGM_00178']",8
CP014494.1,78993,['None'],['None'],0,['None'],['None'],['None'],0,"['PPFADCJJ_00005', 'PPFADCJJ_00010', 'PPFADCJJ_00024', 'PPFADCJJ_00027', 'PPFADCJJ_00090']",5
CP018958.1,53199,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'repA2 copB L7006 ECO57PM67']","['finO', 'repA2']",2,['CICELOBC_00061'],1
CP018959.1,51886,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'CHLORAMPHENICOL', 'RIFAMYCIN', 'SULFONAMIDE', 'CARBAPENEM']","[""aac(6')-Ib-D181Y"", 'blaOXA-1', 'catB3', 'arr-3', 'sul1', 'blaKPC-2']",6,"['TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['trfB korA', 'hvrA']","['trfB', 'hvrA']",2,"['CDHJCKOK_00010', 'CDHJCKOK_00013', 'CDHJCKOK_00016', 'CDHJCKOK_00051', 'CDHJCKOK_00056']",5
CP018960.1,73207,"['MACROLIDE', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'CHLORAMPHENICOL', 'TETRACYCLINE']","['erm(B)', 'mph(A)', 'sul1', 'aadA5', 'dfrA17', ""aac(6')-Ib-D181Y"", 'blaOXA-1', 'catB3', 'tet(B)']",9,"['Tetracycline repressor protein class H', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'Tetracycline repressor protein class B from transposon Tn10']","['tetR', 'yfiR BSU08370', 'Rv3488', 'tetR']","['tetR', 'yfiR', 'Rv3488', 'tetR']",4,"['MACDFFHP_00020', 'MACDFFHP_00036', 'MACDFFHP_00053', 'MACDFFHP_00069', 'MACDFFHP_00072']",5
CP018961.1,289904,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'CHLORAMPHENICOL', 'RIFAMYCIN', 'SULFONAMIDE', 'CEPHALOSPORIN', 'SULFONAMIDE', 'MACROLIDE', 'BETA-LACTAM', 'GENTAMICIN', 'QUINOLONE', 'QUINOLONE']","[""aac(6')-Ib-D181Y"", 'blaOXA-1', 'catB3', 'arr-3', 'sul1', 'blaCTX-M-2', 'sul1', 'mph(A)', 'blaTEM-242', 'aac(3)-IIe', 'qnrE2', 'qnrE2']",12,"['HTH-type transcriptional regulator AdmX', 'Tetracycline repressor protein class H', 'HTH-type transcriptional regulator IpsA', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Uncharacterized HTH-type transcriptional regulator YqaE', 'Lactose operon repressor', 'Probable tellurium resistance transcriptional regulator TerW']","['admX AWY96_00730', 'tetR', 'ipsA Cgl2627', 'yfiR BSU08370', 'merD', 'merR', 'yqaE BSU26350', 'lacI b0345 JW0336', 'terW']","['admX', 'tetR', 'ipsA', 'yfiR', 'merD', 'merR', 'yqaE', 'lacI', 'terW']",9,"['DIJMCIMH_00026', 'DIJMCIMH_00033', 'DIJMCIMH_00035', 'DIJMCIMH_00036', 'DIJMCIMH_00093', 'DIJMCIMH_00094', 'DIJMCIMH_00177', 'DIJMCIMH_00182', 'DIJMCIMH_00185', 'DIJMCIMH_00190', 'DIJMCIMH_00215', 'DIJMCIMH_00227', 'DIJMCIMH_00300', 'DIJMCIMH_00311', 'DIJMCIMH_00312', 'DIJMCIMH_00335']",16
CP025875.1,36522,"['STREPTOTHRICIN', 'TRIMETHOPRIM']","['sat2_gen', 'dfrA1']",2,['None'],['None'],['None'],0,['PJPCJIHL_00042'],1
CP025876.1,80574,['None'],['None'],0,['Replication regulatory protein RepA2 (Protein CopB)'],['repA2 copB ECOK12F006'],['repA2'],1,"['OILHNEGI_00003', 'OILHNEGI_00007', 'OILHNEGI_00012', 'OILHNEGI_00034', 'OILHNEGI_00053', 'OILHNEGI_00054', 'OILHNEGI_00056', 'OILHNEGI_00067', 'OILHNEGI_00074', 'OILHNEGI_00078', 'OILHNEGI_00085']",11
CP025877.1,49418,['None'],['None'],0,"['Uncharacterized HTH-type transcriptional regulator YobD', 'Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC']","['yobD BSU18850', 'rstR1 VC_1455; rstR2 VC_1464', 'korC']","['yobD', 'rstR1', 'korC']",3,"['LFFPMNGN_00019', 'LFFPMNGN_00035', 'LFFPMNGN_00037', 'LFFPMNGN_00040']",4
CP025878.1,84969,['None'],['None'],0,"['Transcriptional regulator HilD', 'Major pilu subunit operon regulatory protein PapB', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['hilD STM2875', 'papB', 'virB invE']","['hilD', 'papB', 'virB']",3,"['NNFPKMEN_00007', 'NNFPKMEN_00022', 'NNFPKMEN_00023', 'NNFPKMEN_00041', 'NNFPKMEN_00044', 'NNFPKMEN_00048', 'NNFPKMEN_00050', 'NNFPKMEN_00064', 'NNFPKMEN_00074', 'NNFPKMEN_00076', 'NNFPKMEN_00089', 'NNFPKMEN_00090', 'NNFPKMEN_00093', 'NNFPKMEN_00098', 'NNFPKMEN_00102']",15
CP025879.1,36128,['None'],['None'],0,['None'],['None'],['None'],0,"['JOKJCPMI_00011', 'JOKJCPMI_00015', 'JOKJCPMI_00023']",3
CP025880.1,46659,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB repB CP0258', 'finO']","['repA2', 'finO']",2,"['NICLIPMO_00005', 'NICLIPMO_00032', 'NICLIPMO_00034']",3
CP025888.1,111958,['None'],['None'],0,['None'],['None'],['None'],0,"['KBJHFNLH_00001', 'KBJHFNLH_00017', 'KBJHFNLH_00070', 'KBJHFNLH_00071']",4
CP025889.1,85003,['None'],['None'],0,"['Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Major pilu subunit operon regulatory protein PapB', 'Transcriptional regulator HilD']","['virB invE', 'papB', 'hilD STM2875']","['virB', 'papB', 'hilD']",3,"['DMAMEHBA_00001', 'DMAMEHBA_00006', 'DMAMEHBA_00009', 'DMAMEHBA_00010', 'DMAMEHBA_00024', 'DMAMEHBA_00026', 'DMAMEHBA_00036', 'DMAMEHBA_00050', 'DMAMEHBA_00052', 'DMAMEHBA_00056', 'DMAMEHBA_00059', 'DMAMEHBA_00077', 'DMAMEHBA_00078', 'DMAMEHBA_00094', 'DMAMEHBA_00109']",15
CP025890.1,80573,['None'],['None'],0,['Replication regulatory protein RepA2 (Protein CopB)'],['repA2 copB ECOK12F006'],['repA2'],1,"['LENNMGMA_00004', 'LENNMGMA_00011', 'LENNMGMA_00015', 'LENNMGMA_00022', 'LENNMGMA_00030', 'LENNMGMA_00031', 'LENNMGMA_00032', 'LENNMGMA_00054', 'LENNMGMA_00076', 'LENNMGMA_00081', 'LENNMGMA_00085', 'LENNMGMA_00087']",12
CP025891.1,32473,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB repB CP0258', 'finO']","['repA2', 'finO']",2,"['NMPBJMJN_00009', 'NMPBJMJN_00011', 'NMPBJMJN_00016']",3
CP025897.1,152531,['None'],['None'],0,"['Major pilu subunit operon regulatory protein PapB', 'Transcriptional regulator HilD']","['papB', 'hilD STM2875']","['papB', 'hilD']",2,"['GKIHALAI_00022', 'GKIHALAI_00023', 'GKIHALAI_00043', 'GKIHALAI_00046', 'GKIHALAI_00049', 'GKIHALAI_00050', 'GKIHALAI_00056', 'GKIHALAI_00072', 'GKIHALAI_00084', 'GKIHALAI_00114', 'GKIHALAI_00115', 'GKIHALAI_00148', 'GKIHALAI_00167', 'GKIHALAI_00171']",14
CP025898.1,79889,"['QUINOLONE', 'BETA-LACTAM']","['qnrS1', 'blaTEM-1']",2,['Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)'],['icaR MW2585'],['icaR'],1,"['BAFANMLB_00003', 'BAFANMLB_00009', 'BAFANMLB_00019', 'BAFANMLB_00023', 'BAFANMLB_00033', 'BAFANMLB_00051']",6
CP025899.1,77647,['None'],['None'],0,['Replication regulatory protein RepA2 (Protein CopB)'],['repA2 copB ECOK12F006'],['repA2'],1,"['OHGNLCIJ_00015', 'OHGNLCIJ_00018', 'OHGNLCIJ_00020', 'OHGNLCIJ_00027', 'OHGNLCIJ_00037', 'OHGNLCIJ_00044', 'OHGNLCIJ_00049', 'OHGNLCIJ_00069', 'OHGNLCIJ_00077', 'OHGNLCIJ_00078', 'OHGNLCIJ_00090']",11
CP025908.1,146396,['None'],['None'],0,"['HTH-type transcriptional activator CsvR', 'F1 operon positive regulatory protein', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['csvR', 'caf1R YPMT1.81c Y1097 YP_pMT085', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['csvR', 'caf1R', 'finO', 'repA2']",4,"['FMFHOACF_00001', 'FMFHOACF_00006', 'FMFHOACF_00012', 'FMFHOACF_00021', 'FMFHOACF_00024', 'FMFHOACF_00039', 'FMFHOACF_00042', 'FMFHOACF_00055', 'FMFHOACF_00068', 'FMFHOACF_00069', 'FMFHOACF_00076', 'FMFHOACF_00080', 'FMFHOACF_00090', 'FMFHOACF_00100', 'FMFHOACF_00105', 'FMFHOACF_00129', 'FMFHOACF_00163', 'FMFHOACF_00168', 'FMFHOACF_00189', 'FMFHOACF_00191']",20
CP025909.1,83018,['None'],['None'],0,"['Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)', 'Replication regulatory protein repA2 (Protein CopB)']","['icaR MW2585', 'repA2 copB']","['icaR', 'repA2']",2,"['OFHHPPLA_00020', 'OFHHPPLA_00028', 'OFHHPPLA_00030', 'OFHHPPLA_00036', 'OFHHPPLA_00058', 'OFHHPPLA_00068', 'OFHHPPLA_00072', 'OFHHPPLA_00073']",8
CP025925.1,36522,"['STREPTOTHRICIN', 'TRIMETHOPRIM']","['sat2_gen', 'dfrA1']",2,['None'],['None'],['None'],0,['FIIDHGCF_00047'],1
CP025926.1,84978,['None'],['None'],0,"['Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Major pilu subunit operon regulatory protein PapB', 'Transcriptional regulator HilD']","['virB invE', 'papB', 'hilD STM2875']","['virB', 'papB', 'hilD']",3,"['EBHGGOBA_00012', 'EBHGGOBA_00027', 'EBHGGOBA_00031', 'EBHGGOBA_00036', 'EBHGGOBA_00039', 'EBHGGOBA_00040', 'EBHGGOBA_00053', 'EBHGGOBA_00055', 'EBHGGOBA_00065', 'EBHGGOBA_00079', 'EBHGGOBA_00081', 'EBHGGOBA_00085', 'EBHGGOBA_00088', 'EBHGGOBA_00106', 'EBHGGOBA_00107']",15
CP025927.1,29776,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB repB CP0258', 'finO']","['repA2', 'finO']",2,"['LCCFGPBF_00018', 'LCCFGPBF_00020']",2
CP025928.1,80574,['None'],['None'],0,['Replication regulatory protein RepA2 (Protein CopB)'],['repA2 copB ECOK12F006'],['repA2'],1,"['HPBGABPE_00004', 'HPBGABPE_00023', 'HPBGABPE_00024', 'HPBGABPE_00026', 'HPBGABPE_00037', 'HPBGABPE_00044', 'HPBGABPE_00048', 'HPBGABPE_00055', 'HPBGABPE_00061', 'HPBGABPE_00063', 'HPBGABPE_00067', 'HPBGABPE_00072']",12
CP025968.1,135438,['None'],['None'],0,"['HTH-type transcriptional activator CsvR', 'F1 operon positive regulatory protein', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)', 'Replication regulatory protein repA2 (Protein CopB)']","['csvR', 'caf1R YPMT1.81c Y1097 YP_pMT085', 'finO L7001 ECO57PM64', 'icaR MW2585', 'repA2 copB L7006 ECO57PM67']","['csvR', 'caf1R', 'finO', 'icaR', 'repA2']",5,"['JIOIMKKM_00021', 'JIOIMKKM_00044', 'JIOIMKKM_00046', 'JIOIMKKM_00048', 'JIOIMKKM_00053', 'JIOIMKKM_00059', 'JIOIMKKM_00069', 'JIOIMKKM_00082', 'JIOIMKKM_00093', 'JIOIMKKM_00096', 'JIOIMKKM_00112', 'JIOIMKKM_00124', 'JIOIMKKM_00128', 'JIOIMKKM_00135', 'JIOIMKKM_00143', 'JIOIMKKM_00160', 'JIOIMKKM_00175']",17
CP025969.1,9864,['None'],['None'],0,['None'],['None'],['None'],0,"['HOFEJFDO_00001', 'HOFEJFDO_00009']",2
CP025971.1,92482,['None'],['None'],0,['Replication regulatory protein repA2 (Protein CopB)'],['repA2 copB repB CP0258'],['repA2'],1,"['AMHHBIOB_00007', 'AMHHBIOB_00013', 'AMHHBIOB_00019', 'AMHHBIOB_00032', 'AMHHBIOB_00036', 'AMHHBIOB_00037', 'AMHHBIOB_00044', 'AMHHBIOB_00050', 'AMHHBIOB_00066', 'AMHHBIOB_00094', 'AMHHBIOB_00095']",11
CP025972.1,46624,['None'],['None'],0,"['Major pilu subunit operon regulatory protein PapB', 'Transcriptional regulator HilD']","['papB', 'hilD STM2875']","['papB', 'hilD']",2,"['PCBLOBAJ_00005', 'PCBLOBAJ_00027', 'PCBLOBAJ_00031']",3
CP025974.1,92480,['None'],['None'],0,['Replication regulatory protein repA2 (Protein CopB)'],['repA2 copB repB CP0258'],['repA2'],1,"['OPLJIHNN_00009', 'OPLJIHNN_00010', 'OPLJIHNN_00018', 'OPLJIHNN_00024', 'OPLJIHNN_00030', 'OPLJIHNN_00043', 'OPLJIHNN_00047', 'OPLJIHNN_00048', 'OPLJIHNN_00055', 'OPLJIHNN_00061', 'OPLJIHNN_00077']",11
CP025975.1,46624,['None'],['None'],0,"['Transcriptional regulator HilD', 'Major pilu subunit operon regulatory protein PapB']","['hilD STM2875', 'papB']","['hilD', 'papB']",2,"['OKCFFAMI_00006', 'OKCFFAMI_00037', 'OKCFFAMI_00041']",3
CP025977.1,92478,['None'],['None'],0,['Replication regulatory protein repA2 (Protein CopB)'],['repA2 copB repB CP0258'],['repA2'],1,"['CCDNCHEP_00003', 'CCDNCHEP_00004', 'CCDNCHEP_00008', 'CCDNCHEP_00022', 'CCDNCHEP_00028', 'CCDNCHEP_00034', 'CCDNCHEP_00042', 'CCDNCHEP_00043', 'CCDNCHEP_00073', 'CCDNCHEP_00090', 'CCDNCHEP_00096']",11
CP025978.1,46624,['None'],['None'],0,"['Major pilu subunit operon regulatory protein PapB', 'Transcriptional regulator HilD']","['papB', 'hilD STM2875']","['papB', 'hilD']",2,"['EKHNAAIH_00025', 'EKHNAAIH_00047', 'EKHNAAIH_00051']",3
CP027377.1,70153,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'repA2 copB']","['finO', 'repA2']",2,['MCCGAMDI_00046'],1
CP027378.1,113103,['None'],['None'],0,['None'],['None'],['None'],0,"['GMMMGNCN_00001', 'GMMMGNCN_00009', 'GMMMGNCN_00022', 'GMMMGNCN_00034', 'GMMMGNCN_00036', 'GMMMGNCN_00103', 'GMMMGNCN_00122']",7
CP027379.1,104890,['None'],['None'],0,['None'],['None'],['None'],0,"['AGFAKLHN_00018', 'AGFAKLHN_00023', 'AGFAKLHN_00028', 'AGFAKLHN_00041', 'AGFAKLHN_00080', 'AGFAKLHN_00142']",6
CP027485.1,147395,"['STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'BETA-LACTAM', 'TRIMETHOPRIM', 'TETRACYCLINE', 'TETRACYCLINE']","['aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaTEM-1', 'dfrA5', 'tet(A)', 'tet(A)']",7,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Mercuric resistance operon regulatory protein', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Tetracycline repressor protein class A from transposon 1721']","['finO L7001 ECO57PM64', 'repA2 copB repB CP0258', 'merR', 'merD', 'tetR']","['finO', 'repA2', 'merR', 'merD', 'tetR']",5,"['NEAENKCE_00023', 'NEAENKCE_00033', 'NEAENKCE_00076', 'NEAENKCE_00081', 'NEAENKCE_00094', 'NEAENKCE_00102', 'NEAENKCE_00107', 'NEAENKCE_00143', 'NEAENKCE_00145', 'NEAENKCE_00146', 'NEAENKCE_00148', 'NEAENKCE_00158']",12
CP027641.1,126958,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'HTH-type transcriptional regulator PrsX', 'HTH-type transcriptional regulator PapX']","['finO', 'repA2 copB repB CP0258', 'prsX', 'papX']","['finO', 'repA2', 'prsX', 'papX']",4,"['MBNKJKME_00021', 'MBNKJKME_00064']",2
CP027673.1,88530,['None'],['None'],0,['None'],['None'],['None'],0,"['JGKNJGPO_00064', 'JGKNJGPO_00083', 'JGKNJGPO_00095', 'JGKNJGPO_00098']",4
